,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
457,458,Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,https://www.udemy.com/cryptocurrency-btc-eth-investment-trading-course-2017/,TRUE,20,0,0,7,Beginner Level,2.5 hours,2017-07-06T21:46:30Z,Business Finance
458,459,Introduction to Project Management for Finance and Acct'g,https://www.udemy.com/introduction-to-project-management-m/,TRUE,50,0,0,9,Beginner Level,2 hours,2017-07-03T21:40:32Z,Business Finance
459,460,Best Practices in Corporate Budgeting,https://www.udemy.com/best-practices-corporate-budgeting/,TRUE,50,0,0,9,Intermediate Level,2 hours,2017-06-29T22:01:56Z,Business Finance
460,461,Financial Statement Auditing Cycles,https://www.udemy.com/financial-statement-auditing-cycles/,TRUE,50,0,0,9,Intermediate Level,2 hours,2017-06-29T23:20:10Z,Business Finance
461,462,Case studies on credit appraisal for bankers,https://www.udemy.com/case-studies-on-credit-appraisal-for-bankers/,TRUE,20,0,0,15,Beginner Level,3.5 hours,2017-05-01T20:16:26Z,Business Finance
462,463,Building a Balanced Scorecard,https://www.udemy.com/building-balanced-scorecard/,TRUE,50,0,0,11,Intermediate Level,2 hours,2017-07-03T21:38:22Z,Business Finance
463,464,Options Trading Foundation: Your journey to competency...,https://www.udemy.com/option-trading-foundation-your-journey-to-competency/,TRUE,95,0,0,5,Intermediate Level,1 hour,2017-07-05T04:41:54Z,Business Finance
464,465,Forex how traders beat the markest with little experience,https://www.udemy.com/forex-how-traders-beat-the-markest-with-little-experience/,TRUE,100,0,0,16,All Levels,1 hour,2017-07-06T21:16:13Z,Business Finance
465,466,CFA Level 2- Quantitative Methods,https://www.udemy.com/cfa-level-2-quantitative-methods/,TRUE,40,0,0,35,All Levels,5.5 hours,2017-07-02T14:29:35Z,Business Finance
466,467,Foundations of Investing,https://www.udemy.com/foundations-of-investing/,TRUE,40,0,0,18,Beginner Level,2 hours,2016-07-27T21:07:46Z,Business Finance
515,516,Learn The ABC's Of Investing And Understanding True Financial Value,https://www.udemy.com/investing-101-guide/,TRUE,20,3,0,8,All Levels,1.5 hours,2015-06-01T22:47:06Z,Business Finance
516,517,How to invest in Russian equity market,https://www.udemy.com/how-to-invest-in-russian-equity-market/,TRUE,30,3,0,12,Intermediate Level,1.5 hours,2015-09-15T18:28:43Z,Business Finance
517,518,Handle difficult questions the bank manager will ask you,https://www.udemy.com/handle-difficult-questions-the-bank-manager-will-ask-you/,TRUE,20,2,0,12,All Levels,1 hour,2015-09-04T20:03:24Z,Business Finance
518,519,Credit Control Procedures,https://www.udemy.com/credit-control/,TRUE,20,3,0,6,All Levels,34 mins,2014-09-22T03:58:46Z,Business Finance
519,520,FMT: Forex Market Trader Certificate,https://www.udemy.com/fmtcertificate/,TRUE,20,1,0,27,All Levels,2 hours,2016-03-17T17:43:59Z,Business Finance
520,521,Six Stage Negotiation,https://www.udemy.com/six-stage-negotiation-for-cash-collection/,TRUE,30,1,0,21,All Levels,2.5 hours,2016-05-11T17:08:03Z,Business Finance
521,522,Financial Reporting - Fundamentals/Basics,https://www.udemy.com/financial-reporting-fundamentals/,TRUE,20,2,0,28,Beginner Level,2.5 hours,2014-11-08T02:53:57Z,Business Finance
522,523,Decide whether to Invest in a Business ,https://www.udemy.com/decide-whether-to-invest-in-a-business/,TRUE,20,1,0,43,Beginner Level,1 hour,2016-02-15T17:33:49Z,Business Finance
523,524,UK Tax Returns with HMRC,https://www.udemy.com/corporation-tax-returns-hmrc/,TRUE,40,2,0,11,Beginner Level,1 hour,2016-04-05T15:48:32Z,Business Finance
524,525,Financial Market Environment & Investment Strategies,https://www.udemy.com/financial-market-environment-investment-strategies/,TRUE,105,1,0,25,All Levels,1.5 hours,2017-06-20T02:29:09Z,Business Finance
526,527,Evolution and Features of ETFs,https://www.udemy.com/evolution-and-features-of-etfs/,TRUE,100,0,0,10,All Levels,43 mins,2017-04-03T22:17:10Z,Business Finance
575,576,"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",https://www.udemy.com/basics-of-fixed-income-valuation-cfa-level-i-2017-prep/,TRUE,20,4,0,14,Beginner Level,3.5 hours,2017-01-28T16:47:51Z,Business Finance
576,577,Intro to Financial Statement Audits,https://www.udemy.com/intro-financial-statement-audits/,TRUE,50,1,0,9,Intermediate Level,1.5 hours,2017-06-29T18:09:01Z,Business Finance
577,578,"How to Get Growing, Passive Income from the Fortune 500!",https://www.udemy.com/how-to-get-growing-passive-income-from-the-fortune-500/,TRUE,25,4,0,12,All Levels,1 hour,2017-01-19T16:07:18Z,Business Finance
578,579,Managing Budgets in the Public and Non Profit Sector,https://www.udemy.com/managing-budgets-in-the-public-and-non-profit-sector/,TRUE,95,4,0,20,All Levels,2 hours,2017-06-22T20:28:25Z,Business Finance
581,582,Tax made simple for Limited Company Owners and Contractors,https://www.udemy.com/tax-made-simple-for-limited-company-owners-and-contractors/,TRUE,50,11,0,57,All Levels,3 hours,2015-02-18T11:50:46Z,Business Finance
582,583,Introduction to the 8 Pillars for Accountants,https://www.udemy.com/8-pillars-for-accountants-introduction/,TRUE,20,18,0,33,Beginner Level,37 mins,2014-08-16T17:37:15Z,Business Finance
583,584,FX Trading for Beginners,https://www.udemy.com/fx-trading-for-beginners/,TRUE,20,16,0,22,All Levels,1.5 hours,2013-12-01T04:10:23Z,Business Finance
584,585,Write a Successful Business Grant Proposal,https://www.udemy.com/write-a-successful-business-grant-proposal/,TRUE,20,6,0,23,Beginner Level,2.5 hours,2016-07-10T17:11:15Z,Business Finance
585,586,A Guide To Trade Binary Options Like An Expert,https://www.udemy.com/a-guide-to-trade-binary-options-like-an-expert/,TRUE,55,4,0,21,All Levels,1 hour,2016-07-18T21:48:10Z,Business Finance
586,587,Ratio analysis for bankers and credit analysts,https://www.udemy.com/ratio-analysis-for-bankers-and-credit-analysts/,TRUE,20,1,0,13,Beginner Level,3 hours,2017-04-12T16:55:26Z,Business Finance
640,641,Bitcoin & Ethereum Course (2 Course Bundle),https://www.udemy.com/bitcoin-ethereum-bundle/,TRUE,200,1,0,52,All Levels,2.5 hours,2017-07-05T19:06:26Z,Business Finance
641,642,Create Trading Robot Without Coding Skills!,https://www.udemy.com/algotrading/,TRUE,145,5,0,13,All Levels,1 hour,2017-06-16T05:29:13Z,Business Finance
663,664,Learn Accounting by Specific Examples - Part 1,https://www.udemy.com/accounting1/,TRUE,50,306,0,5,All Levels,38 mins,2014-11-28T05:56:37Z,Business Finance
668,669,Level 1 2014 CFA® Program – Equity Investments,https://www.udemy.com/cfa-equity/,TRUE,40,347,0,24,All Levels,4.5 hours,2015-01-30T08:19:51Z,Business Finance
711,712,From 0 to 1: Investments and Portfolio Theory,https://www.udemy.com/from-0-to-1-investments-and-portfolio-theory/,TRUE,50,230,0,22,Beginner Level,4.5 hours,2017-05-01T23:42:52Z,Business Finance
779,780,Kickstarter success in 5 easy steps,https://www.udemy.com/kickstarter-success-in-5-easy-steps/,TRUE,20,0,0,12,All Levels,31 mins,2017-05-16T14:55:28Z,Business Finance
780,781,Understanding Financial Statements,https://www.udemy.com/understanding-financial-statements/,TRUE,25,0,0,10,All Levels,1 hour,2016-12-15T14:56:17Z,Business Finance
781,782,Planning and Executing a Financial Statement Audit,https://www.udemy.com/planning-executing-financial-statement-audit/,TRUE,50,0,0,9,Intermediate Level,2 hours,2017-06-29T23:18:51Z,Business Finance
782,783,The Latest Updates 2016 Financial Accounting Standards Board,https://www.udemy.com/2016-fasb-updates/,TRUE,50,1,0,9,Intermediate Level,2 hours,2017-06-29T21:40:54Z,Business Finance
783,784,How to achieve personal transformation,https://www.udemy.com/learnhowtocreatewealth/,TRUE,20,0,0,10,All Levels,32 mins,2016-12-22T00:28:07Z,Business Finance
784,785,Basic Bookkeeping,https://www.udemy.com/basic-bookkeeping-course/,TRUE,35,0,0,12,Beginner Level,44 mins,2017-05-23T16:20:18Z,Business Finance
785,786,"Credit concepts and checklist for bankers, credit analyst",https://www.udemy.com/credit-concepts-and-checklist-for-bankers-credit-analyst/,TRUE,20,0,0,10,Beginner Level,2.5 hours,2017-04-24T14:56:01Z,Business Finance
786,787,Practical Film Financing: Finding & Pitching Investors,https://www.udemy.com/indiefilm-financing/,TRUE,100,0,0,9,Beginner Level,1 hour,2017-07-05T21:46:55Z,Business Finance
787,788,Ratio Analysis for Financial Statements,https://www.udemy.com/ratio-analysis-financial-statements/,TRUE,50,0,0,6,Beginner Level,2 hours,2017-07-03T21:39:57Z,Business Finance
788,789,60 Minutes to Fundamental Accounting Skills,https://www.udemy.com/60-minute-fundamental-accounting-skills/,TRUE,75,0,0,9,Beginner Level,2.5 hours,2017-06-28T21:55:29Z,Business Finance
789,790,Essentials of money value: Get a financial Life !,https://www.udemy.com/essentials-of-money-value/,TRUE,20,0,0,20,All Levels,37 mins,2016-05-16T18:28:30Z,Business Finance
790,791,Introduction to Forex Trading Business For Beginners,https://www.udemy.com/introduction-to-forex-trading-business-for-beginners/,TRUE,20,0,0,27,Beginner Level,1.5 hours,2017-04-23T16:19:01Z,Business Finance
847,848,Test your Knowledge in Banking Credit Analysis Process,https://www.udemy.com/banking-credit-analysis-process/,TRUE,30,17,0,0,All Levels,24 questions,2017-06-30T10:45:11Z,Business Finance
872,873,Take Control By Learning The Stock Market Now,https://www.udemy.com/stock-market-crash-course/,TRUE,30,1440,0,21,Beginner Level,1 hour,2015-03-10T01:15:35Z,Business Finance
881,882,Zoho Books Gestion Financière d'Entreprise pas à pas,https://www.udemy.com/zoho-books-gestion-financiere-dentreprise-pas-a-pas/,FALSE,Free,229,0,33,All Levels,2 hours,2017-05-26T16:45:55Z,Business Finance
887,888,Teeter-Totter Accounting,https://www.udemy.com/teeter-totter-accounting/,TRUE,90,0,0,12,Beginner Level,1 hour,2017-02-08T22:15:56Z,Business Finance
888,889,beginning accounting,https://www.udemy.com/beginning_accounting/,TRUE,20,0,0,12,Intermediate Level,38 mins,2016-12-26T16:52:47Z,Business Finance
889,890,Stop Creditors from Harassing you and Avoid Bankruptcy,https://www.udemy.com/stop-creditor-harassment-and-avoid-bankruptcy/,TRUE,20,0,0,7,Beginner Level,37 mins,2017-02-02T16:22:37Z,Business Finance
890,891,Learn to trade using technical analysis,https://www.udemy.com/learn-to-trade-using-technical-analysis/,TRUE,50,0,0,6,Intermediate Level,32 mins,2017-05-02T13:15:53Z,Business Finance
891,892,How to Invest Using ETFs from Former Wall Street Trader,https://www.udemy.com/etf-master-class/,TRUE,200,0,0,10,All Levels,2 hours,2017-02-15T22:34:00Z,Business Finance
892,893,Workshop on Banking Credit Analysis Process,https://www.udemy.com/workshop-on-banking-credit-analysis-process/,TRUE,100,0,0,7,All Levels,1.5 hours,2017-06-28T23:22:27Z,Business Finance
893,894,The Cuckoo Strategy to get European Funding,https://www.udemy.com/the-cuckoo-strategy-to-get-european-funding/,TRUE,160,0,0,6,All Levels,1 hour,2016-01-06T02:38:23Z,Business Finance
894,895,Accounting - The 6 most important rules you must learn,https://www.udemy.com/accounting-the-6-most-important-rules-you-must-learn/,TRUE,20,0,0,9,All Levels,1 hour,2017-05-25T21:55:50Z,Business Finance
895,896,Mutual Funds for Investors in Retirement Accounts,https://www.udemy.com/mutual-funds-for-investors-in-retirement-accounts/,TRUE,20,0,0,0,All Levels,0,2015-12-17T05:38:38Z,Business Finance
896,897,Free Ways to Create Passive Income Online,https://www.udemy.com/how-to-make-passive-income-online/,TRUE,25,0,0,27,Beginner Level,1 hour,2017-04-17T22:33:13Z,Business Finance
897,898,Understanding Financial Statements,https://www.udemy.com/understanding-financial-statements/,TRUE,25,0,0,10,All Levels,1 hour,2016-12-15T14:56:17Z,Business Finance
898,899,The Cash Flow Statement - An Introduction,https://www.udemy.com/cash-flow-statement-introduction/,TRUE,50,0,0,10,Beginner Level,1.5 hours,2017-06-28T16:05:51Z,Business Finance
902,903,Valuation of Goodwill for CA / CFA / CMA Exams,https://www.udemy.com/valuation-of-goodwill/,TRUE,20,1509,0,9,All Levels,43 mins,2015-09-23T17:16:11Z,Business Finance
923,924,Profit and Loss Account for bankers and credit analysts,https://www.udemy.com/profit-and-loss-account-for-bankers-and-credit-analysts/,TRUE,20,1,0,31,Beginner Level,7.5 hours,2017-04-23T22:07:02Z,Business Finance
924,925,Business Accounts For Managers,https://www.udemy.com/business-accounts-for-managers/,TRUE,30,16,0,23,Beginner Level,3 hours,2013-04-23T13:07:51Z,Business Finance
925,926,Black Scholes Option Pricing Model,https://www.udemy.com/black-scholes-option-pricing-model/,TRUE,25,3,0,10,Beginner Level,1 hour,2017-05-03T16:42:34Z,Business Finance
926,927,Chief Wealth Officer,https://www.udemy.com/chief-wealth-officer/,TRUE,45,4,0,7,Beginner Level,1 hour,2016-06-03T22:38:05Z,Business Finance
927,928,Practical Accounts Training A,https://www.udemy.com/mobile-practical-accounts-training-a/,TRUE,35,2,0,127,Intermediate Level,31.5 hours,2017-01-18T18:52:11Z,Business Finance
932,933,"Intro. to Asset-Backed Securities, CFA Level I,  2017 Prep",https://www.udemy.com/intro-to-asset-backed-securities-cfa-level-i-2017-prep/,TRUE,20,1,0,13,All Levels,3 hours,2017-03-27T19:59:34Z,Business Finance
933,934,Reach Your Personal Financial Goals the Easy Way (2017 UK),https://www.udemy.com/reach-your-personal-financial-goals-the-easy-way-2017-uk/,TRUE,95,2,0,59,All Levels,4.5 hours,2017-05-22T23:58:16Z,Business Finance
934,935,Bitesize Bookkeeping for busy people,https://www.udemy.com/bitesize-bookkeeping-for-busy-people/,TRUE,20,9,0,13,Beginner Level,1.5 hours,2015-03-29T18:18:33Z,Business Finance
970,971,Test your knowledge in Financial Management,https://www.udemy.com/test-your-knowledge-in-financial-management/,TRUE,30,20,0,0,All Levels,82 questions,2017-06-21T05:05:10Z,Business Finance
989,990,Learn to Trade for Profit: Finding Winning Stocks - Chinese,https://www.udemy.com/trade-for-profit-how-to-find-and-trade-stocks-successfully-chinese/,TRUE,95,264,0,79,All Levels,3 hours,2015-10-08T17:04:03Z,Business Finance
1008,1009,3 Little Pigs: A Multiple Timeframe Forex Trading Strategy,https://www.udemy.com/3-little-pigs-a-multiple-timeframe-forex-trading-strategy/,TRUE,20,18,0,6,All Levels,1.5 hours,2017-02-24T16:33:34Z,Business Finance
1009,1010,6. Annuities Due and Deferred,https://www.udemy.com/annuities-due-and-deferred/,TRUE,20,170,0,16,All Levels,1.5 hours,2014-02-24T13:53:23Z,Business Finance
1010,1011,CFA® Level 1 2014 – Quantitative Methods,https://www.udemy.com/cfa-level-1-2014-quantitative-methods/,TRUE,50,119,0,27,All Levels,5 hours,2015-02-26T10:06:11Z,Business Finance
1014,1015,Forex:Trade Management & Psychology,https://www.udemy.com/forexmoney-management-psychology/,TRUE,150,13,0,19,Intermediate Level,2 hours,2016-09-21T19:07:06Z,Business Finance
1015,1016,"Working Capital assessment for bankers, credit analysts",https://www.udemy.com/working-capital-assessment-for-bankers-credit-analysts/,TRUE,20,4,0,29,Beginner Level,7 hours,2017-04-06T23:30:07Z,Business Finance
1018,1019,How to trade in the Forex market,https://www.udemy.com/forex-market/,TRUE,200,6,0,39,Intermediate Level,2.5 hours,2017-03-29T16:19:49Z,Business Finance
1019,1020,Bookkeeping Practicals with Software,https://www.udemy.com/bookkeeping-practical-with-software/,TRUE,35,1,0,130,Intermediate Level,31.5 hours,2017-02-07T00:16:24Z,Business Finance
1020,1021,8 Steps To Achieve Financial Freedom And Escape Debt,https://www.udemy.com/achieve-financial-freedom-and-escape-debt/,TRUE,40,5,0,48,Beginner Level,5.5 hours,2015-11-13T17:43:47Z,Business Finance
1021,1022,Trading Basics in 30 minutes,https://www.udemy.com/trading-basics-in-30-minutes/,TRUE,50,1,0,6,Beginner Level,32 mins,2017-02-26T21:59:25Z,Business Finance
1023,1024,Profits Turbo,https://www.udemy.com/profits-turbo/,TRUE,20,10,0,7,Intermediate Level,5.5 hours,2013-06-03T15:35:46Z,Business Finance
1024,1025,Nest Egg Investing,https://www.udemy.com/nest-egg-secrets/,TRUE,45,6,0,12,Beginner Level,2 hours,2014-06-27T15:15:12Z,Business Finance
1025,1026,Economics for beginners - Various Concepts,https://www.udemy.com/economics-forms-of-market-and-perfect-competition/,TRUE,25,2,0,34,Beginner Level,2.5 hours,2017-01-02T14:58:36Z,Business Finance
1026,1027,Investing in Stocks & Shares,https://www.udemy.com/making-money-from-stocks-shares/,TRUE,20,2,0,24,Beginner Level,2 hours,2016-05-23T06:21:40Z,Business Finance
1028,1029,Learn Financial Modeling from Scratch - Part 3,https://www.udemy.com/learn-financial-modeling-part-3/,TRUE,50,2,0,22,All Levels,2 hours,2016-04-07T14:59:39Z,Business Finance
1029,1030,A Practical Guide to Wealth Creation,https://www.udemy.com/wealth-creation/,TRUE,35,6,0,7,All Levels,1 hour,2016-11-18T14:51:43Z,Business Finance
1044,1045,Complete GST Course For Small and Medium Enterprises,https://www.udemy.com/complete-gst-course-for-small-and-medium-enterprises/,TRUE,75,8,0,45,Beginner Level,6 hours,2017-06-14T16:32:26Z,Business Finance
1071,1072,CFA® Level 1 2014 – FI,https://www.udemy.com/cfa-level-1-fixed-income/,TRUE,40,149,0,49,All Levels,4.5 hours,2015-03-08T22:31:50Z,Business Finance
1073,1074,Managerial Accounting - The Ultimate Beginner Course!,https://www.udemy.com/managerial-accounting-the-ultimate-beginner-course/,TRUE,100,11,0,121,Beginner Level,11 hours,2017-04-13T00:20:15Z,Business Finance
1074,1075,Forex Trading for Beginners Vol 1:A Forex Course Made Simple,https://www.udemy.com/forex-trading-for-beginners-vol-1a-forex-course-made-simple/,TRUE,175,3,0,27,Beginner Level,1 hour,2017-07-04T22:23:09Z,Business Finance
1079,1080,Forex Basics: Learn how to read and analyze Forex charts,https://www.udemy.com/forex-basics-c/,TRUE,195,11,0,45,Beginner Level,4.5 hours,2016-09-22T16:40:03Z,Business Finance
1080,1081,Forex - Help I cant Trade,https://www.udemy.com/forex-help-i-cant-trade/,TRUE,200,12,0,20,All Levels,2 hours,2016-10-18T18:51:48Z,Business Finance
1081,1082,Start-up financial modeling for non-finance professionals,https://www.udemy.com/start-up-financial-modeling-for-non-finance-professionals/,TRUE,20,11,0,19,All Levels,4 hours,2016-06-20T21:49:39Z,Business Finance
1082,1083,The Fast Route to a Faster Financial Close,https://www.udemy.com/faster-financial-close/,TRUE,50,2,0,8,Intermediate Level,1.5 hours,2017-06-23T22:05:17Z,Business Finance
1088,1089,Accounting Simplified,https://www.udemy.com/accounting-simplified/,TRUE,30,3,0,41,All Levels,8.5 hours,2017-05-03T16:14:01Z,Business Finance
1089,1090,Series 7: Intermediate Options,https://www.udemy.com/series-7-intermediate-options/,TRUE,55,5,0,11,Intermediate Level,1 hour,2017-04-17T22:33:36Z,Business Finance
1090,1091,Accounting and Business Basics,https://www.udemy.com/accounting-and-business-basics/,TRUE,200,5,0,10,All Levels,2 hours,2017-01-19T16:37:27Z,Business Finance
1103,1104,Corporate Ethics,https://www.udemy.com/corporate-ethics/,TRUE,100,0,0,13,Beginner Level,3.5 hours,2017-07-03T21:39:13Z,Business Finance
1104,1105,CFA Level 2- Quantitative Methods,https://www.udemy.com/cfa-level-2-quantitative-methods/,TRUE,40,0,0,35,All Levels,5.5 hours,2017-07-02T14:29:35Z,Business Finance
1105,1106,Core Financial Statement Concepts,https://www.udemy.com/financial-statement-concepts/,TRUE,50,0,0,9,Intermediate Level,1.5 hours,2017-06-28T21:58:15Z,Business Finance
1106,1107,Understand Core Finance Principles in 60 Minutes,https://www.udemy.com/core-finance-principles-in-60-minutes/,TRUE,75,0,0,13,Beginner Level,2.5 hours,2017-06-29T22:04:17Z,Business Finance
1108,1109,Making Tax Digital - UK HMRC Legislation Explained,https://www.udemy.com/making-tax-digital/,FALSE,Free,743,0,7,All Levels,1 hour,2017-06-06T14:13:15Z,Business Finance
1112,1113,Condor Broken Wing Butterfly Options Trading Course System,https://www.udemy.com/condor-broken-wing-butterfly-options-trading-course-system/,FALSE,Free,16,0,15,All Levels,1.5 hours,2017-07-06T19:47:16Z,Business Finance
1193,1194,Innovators and innovation: Travel through time!,https://www.udemy.com/innovators-and-innovation-travel-through-time/,TRUE,50,101,0,31,Beginner Level,6 hours,2017-05-25T17:41:10Z,Business Finance
98,99,Practical Accounts APP Overview,https://www.udemy.com/practical-accounts-app-overview/,TRUE,20,1361,1,14,Intermediate Level,3 hours,2016-10-04T23:38:32Z,Business Finance
122,123,Quantitative Aptitude for Banking & Competitive Examinations,https://www.udemy.com/quantitative-aptitude-for-competitive-examinations-part-i/,TRUE,50,1056,1,42,All Levels,3 hours,2017-02-09T19:33:52Z,Business Finance
132,133,Building Financial Statements in Excel,https://www.udemy.com/guide-to-building-financial-statements/,TRUE,35,1181,1,18,Beginner Level,1 hour,2017-06-29T23:34:42Z,Business Finance
252,253,Read financial statements like a pro,https://www.udemy.com/read-financial-statements-in-5-minutes/,TRUE,50,12,1,38,Intermediate Level,4 hours,2015-03-02T23:49:35Z,Business Finance
253,254,10 Numbers Every Business Owner Should Know,https://www.udemy.com/10-numbers-every-business-owner-should-know/,TRUE,20,13,1,9,All Levels,1 hour,2015-03-08T19:11:24Z,Business Finance
254,255,Learn How To Trade Gold In 2017,https://www.udemy.com/learn-how-to-trade-gold-in-2017/,TRUE,200,2,1,16,All Levels,1 hour,2017-04-06T04:59:32Z,Business Finance
256,257,Forex Trading: The High ROI Forex Trading End of Day Course,https://www.udemy.com/the-high-roi-forex-trading-end-of-day-course/,TRUE,125,8,1,19,Intermediate Level,2.5 hours,2014-06-16T11:02:39Z,Business Finance
257,258,Fundraise the Simplified Way: A Crowdfunding Blueprint,https://www.udemy.com/fundraise-the-simplified-way-a-crowdfunding-blueprint/,TRUE,35,7,1,19,All Levels,1 hour,2015-02-23T04:37:14Z,Business Finance
333,334,Case Studies in Macro Economics,https://www.udemy.com/case-studies-in-macro-economics/,TRUE,50,114,1,22,Beginner Level,4 hours,2017-05-25T17:00:12Z,Business Finance
408,409,"Forex trading tactics, that work!",https://www.udemy.com/forex-trading-tactics-that-work/,TRUE,20,10,1,5,Beginner Level,36 mins,2016-06-16T20:23:51Z,Business Finance
409,410,Professional Risk Manager (PRM) Certification: Level 2,https://www.udemy.com/professional-risk-manager-prm-certification-level-2/,TRUE,50,41,1,55,All Levels,7.5 hours,2013-07-23T20:24:14Z,Business Finance
412,413,Bookkeeping made simple,https://www.udemy.com/bookkeeping-essentials/,TRUE,30,23,1,19,Beginner Level,1 hour,2015-02-13T12:50:30Z,Business Finance
414,415,ChalkTalk: Financial Accounting,https://www.udemy.com/chalk-talk-accounting/,TRUE,20,25,1,108,All Levels,3.5 hours,2014-01-23T22:33:18Z,Business Finance
416,417,How to trade options,https://www.udemy.com/how-to-trade-options/,TRUE,45,12,1,9,Intermediate Level,43 mins,2015-09-20T21:45:48Z,Business Finance
431,432,Financial Statement Fundamentals for Small Biz & Investors,https://www.udemy.com/financial-statement-fundamentals/,TRUE,30,751,1,61,Beginner Level,3 hours,2015-05-14T21:17:53Z,Business Finance
483,484,"SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports",https://www.udemy.com/sap-crystal-reportsmaster-detailcross-tabsub-reports/,TRUE,50,13,1,9,All Levels,2 hours,2016-12-26T17:39:05Z,Business Finance
484,485,Learn Financial Accounting Different,https://www.udemy.com/learn-financial-accounting-different/,TRUE,20,79,1,58,All Levels,6 hours,2015-05-24T21:14:23Z,Business Finance
488,489,Financial Reporting A Comprehensive Study,https://www.udemy.com/financial-reporting-a-comprehensive-study/,TRUE,50,45,1,72,All Levels,8 hours,2017-02-09T21:58:02Z,Business Finance
505,506,2 Easy Steps To Investment And Avoiding Traps,https://www.udemy.com/easy-steps-to-investment/,TRUE,20,828,1,20,All Levels,1 hour,2015-04-27T23:18:59Z,Business Finance
525,526,How to Obtain a Business Loan,https://www.udemy.com/how-to-obtain-a-business-loan/,TRUE,20,1,1,12,All Levels,34 mins,2015-11-17T19:17:56Z,Business Finance
531,532,Advanced Technical Analysis PART1!,https://www.udemy.com/advanced-technical-analysis-part1/,TRUE,100,9,1,19,Intermediate Level,3 hours,2017-06-27T22:00:27Z,Business Finance
579,580,System of Asset Management for Professionals (SAMP),https://www.udemy.com/professional_asset_management_system/,TRUE,50,8,1,8,Expert Level,1 hour,2015-09-25T21:59:24Z,Business Finance
587,588,Numbers for the  Business Plan,https://www.udemy.com/numbers-for-the-business-plan/,TRUE,20,210,1,12,All Levels,1.5 hours,2014-09-22T05:12:53Z,Business Finance
588,589,Dash Crypto Currency Technical and Trading Overview Bootcamp,https://www.udemy.com/introduction-to-dash-crypto-currency-technical-overview/,TRUE,20,4,1,14,All Levels,1 hour,2017-06-19T21:59:42Z,Business Finance
590,591,4. Ordinary Simple Annuities: The Basics,https://www.udemy.com/ordinary-simple-annuities-the-basics/,TRUE,20,237,1,17,All Levels,1.5 hours,2014-01-31T22:27:11Z,Business Finance
593,594,Level 1 2014 CFA® Program – Corporate Finance,https://www.udemy.com/level-1-2014-cfa-program-corporate-finance/,TRUE,40,204,1,18,All Levels,3 hours,2014-06-21T05:43:33Z,Business Finance
595,596,8. Amortization Schedules,https://www.udemy.com/amortization-schedules/,TRUE,20,225,1,5,All Levels,1 hour,2014-03-19T18:30:55Z,Business Finance
611,612,Five steps to becoming a winner in stock investing,https://www.udemy.com/five-steps-to-becoming-a-winner-in-stock-investing/,TRUE,20,21,1,28,All Levels,3 hours,2015-11-06T19:05:01Z,Business Finance
